type,context,question,context_weight,question_weight
3,"Mount Kilimanjaro is a dormant volcano in Tanzania. It is the highest mountain in Africa and the highest free-standing mountain above sea level in the world, at 5,895 m (19,341 ft) above sea level and 4,900 m (16,100 ft) above its plateau base. It is also the highest volcano in the Eastern Hemisphere and the fourth most topographically prominent peak on Earth",How many people have successfully scaled Mount Everest?,"[0.5, 0.5, 0, 0, 0.25, 0.5, 0, 0, 0, 0, 0, 0.25, 0.5, 0, 0.25, 0, 0, 0.25, 0.25, 0.5, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0.5, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.5, 0, 0, 0.25, 0.25, 0, 0, 0.25, 0.25, 0.25, 0.25, 0.5, 0, 0.25]","[0.25, 1.0, 0.75, 0.25, 0.5, 0.75, 1.0, 1.0]"
3,"Mount Everest, known officially and locally as Sagarmatha in Nepal or Qomolangma in Tibet, is Earth's highest mountain above sea level, located in the Mahalangur Himal sub-range of the Himalayas. The China–Nepal border runs across its summit point. Its elevation (snow height) of 8,848.86 m (29,031 ft 8+1/2 in) was most recently established in 2020 by the Chinese and Nepali authorities",How many people have successfully scaled Mount Kilimanjaro?,"[0.5, 0.5, 0, 0, 0, 0, 0, 0.5, 0, 0.25, 0, 0.5, 0, 0.25, 0, 0.25, 0.25, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.25, 1.0, 0.5, 0.25, 0.5, 0.75, 1.0, 1.0]"
3,"Chichén Itzá (often spelled Chichen Itza in English and traditional Yucatec Maya) was a large pre-Columbian city built by the Maya people of the Terminal Classic period. The archeological site is located in Tinúm Municipality, Yucatán State, Mexico. Chichén Itzá was a major focal point in the Northern Maya Lowlands from the Late Classic (c. AD 600–900) through the Terminal Classic (c. AD 800–900) and into the early portion of the Postclassic period (c. AD 900–1200).",How many people visit the Eiffel Tower per year on average?,"[0.5, 0.5, 0, 0, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.5, 0, 0, 0, 0.25, 0.25, 0, 0, 0.25, 0.25, 0.5, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0, 0, 0.25, 0.25, 0.25, 0.25, 0.25, 0, 0, 0.25, 0.25, 0.25, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.5, 0.25, 0.25, 0.25]","[0.25, 1.0, 0.75, 0.75, 0.25, 1.0, 1.0, 0.5, 1.0, 0.25, 0.75]"
3,"The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower from 1887 to 1889. Locally nicknamed ""La dame de fer"" (French for ""Iron Lady""), it was constructed as the centrepiece of the 1889 World's Fair, and to crown the centennial anniversary of the French Revolution",How many people visit Chichen Itza per year on average?,"[0, 0.5, 0.5, 0, 0, 0.25, 0.25, 0.5, 0, 0, 0.25, 0.25, 0.25, 0, 0.5, 0.5, 0, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0.25, 0, 0.5, 0, 0.5, 0, 0, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0, 0, 0, 0]","[0.25, 1.0, 0.75, 0.75, 1.0, 1.0, 0.75, 1.0, 0.5, 0.75]"
3,"The United States of America (USA), also known as the United States (U.S.) or America, is a country located primarily in North America. It is a federal republic of 50 states and the federal capital district of Washington, D.C. The 48 contiguous states border Canada to the north and Mexico to the south, with the state of Alaska forming a semi-exclave in the northwest and the state of Hawaii spanning an archipelago in Oceania",Who is the current head of state of China?,"[0, 0.5, 0.5, 0.25, 0.5, 0.5, 0, 0, 0, 0.25, 0.5, 0.5, 0.5, 0, 0.5, 0, 0, 0, 0, 0, 0, 0.25, 0.5, 0, 0, 0, 0.5, 0.5, 0, 0.25, 0.5, 0, 0, 0.5, 0.25, 0.25, 0, 0.25, 0.25, 0, 0, 0, 0.5, 0, 0.5, 0, 0, 0.25, 0, 0.5, 0, 0, 0.25, 0, 0, 0.5, 0, 0.5, 0, 0, 0, 0, 0, 0.25, 0, 0, 0.5, 0, 0.5, 0, 0, 0, 0, 0.5]","[1.0, 0.25, 0.25, 0.75, 1.0, 0.75, 1.0, 0.25, 1.0]"
3,"China, officially the People's Republic of China (PRC), is a country in East Asia. With a population exceeding 1.4 billion, it is the second-most populous country after India, representing 17.4% of the world population. China spans the equivalent of five time zones and borders fourteen countries by land across an area of nearly 9.6 million square kilometers (3,700,000 sq mi), making it the third-largest country by land area",Who is the current head of state of the USA?,"[0.5, 0, 0, 0.5, 0.5, 0.25, 0.5, 0.5, 0, 0, 0.5, 0, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0, 0.5, 0, 0.5, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0, 0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0, 0, 0]","[1.0, 0.25, 0.25, 0.75, 1.0, 0.75, 1.0, 0.25, 0.75, 1.0]"
3,An ecosystem (or ecological system) is a system formed by organisms in interaction with their environment. The biotic and abiotic components are linked together through nutrient cycles and energy flows. Ecosystems are controlled by external and internal factors,What is the acceleration due to gravity on Earth?,"[0, 0.5, 0, 0.5, 0.5, 0, 0, 0.5, 0, 0, 0.25, 0, 0.25, 0, 0, 0.5, 0, 0.25, 0, 0.25, 0.5, 0, 0, 0.25, 0, 0.25, 0.25, 0, 0.25, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0.5, 0.5]","[1.0, 0.25, 0.25, 1.0, 0.75, 0.5, 1.0, 0.25, 0.75]"
3,"In physics, gravity (from Latin gravitas 'weight'), also known as gravitation or a gravitational interaction, is a fundamental interaction, a mutual attraction between all massive particles. On Earth, gravity takes a slightly different meaning: the observed force between objects and the Earth. This force is dominated by the combined gravitational interactions of particles but also includes effect of the Earth's rotation",What are the types of ecosystems?,"[0, 0.5, 0.5, 0, 0, 0, 0.5, 0, 0, 0, 0.5, 0, 0, 0.5, 0.5, 0, 0, 0.25, 0.5, 0, 0.25, 0.5, 0, 0.5, 0.25, 0.5, 0, 0.25, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.5, 0, 0.5, 0, 0, 0.25, 0, 0.25, 0, 0, 0, 0, 0.25, 0.5, 0.5, 0, 0.25, 0, 0, 0, 0.25, 0, 0, 0.5, 0.25]","[1.0, 0.25, 0.25, 1.0, 0.75, 1.0]"
3,"A camera is an instrument used to capture and store images and videos, either digitally via an electronic image sensor, or chemically via a light-sensitive material such as photographic film. As a pivotal technology in the fields of photography and videography, cameras have played a significant role in the progression of visual arts, media, entertainment, surveillance, and scientific research. The invention of the camera dates back to the 19th century and has since evolved with advancements in technology, leading to a vast array of types and models in the 21st century",When was the steam engine created?,"[0, 0.5, 0, 0, 0.75, 0, 0, 0.5, 0, 0.25, 0.5, 0, 0.5, 0, 0.25, 0.5, 0, 0.5, 0.25, 0.25, 0, 0.5, 0.5, 0, 0.25, 0.5, 0, 0, 0.25, 0.25, 0, 0, 0.25, 0.5, 0, 0, 0.25, 0, 0.25, 0, 0.25, 0, 0, 0, 0, 0.25, 0.25, 0, 0, 0.25, 0, 0.25, 0.25, 0.25, 0.25, 0.25, 0, 0.25, 0.25, 0, 1.0, 0, 0, 0.5, 0.75, 0, 0, 0, 0.75, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0.25, 0, 0.25, 0.25, 0.25, 1.0, 1.0]","[1.0, 0.25, 0.25, 1.0, 1.0, 0.75]"
3,A steam engine is a heat engine that performs mechanical work using steam as its working fluid. The steam engine uses the force produced by steam pressure to push a piston back and forth inside a cylinder. This pushing force can be transformed by a connecting rod and crank into rotational force for work,Where was the camera first invented?,"[0, 0.5, 0.5, 0, 0, 0.5, 0.5, 0, 0.25, 0.25, 0.25, 0, 0.25, 0, 0, 0.75, 0.25, 0, 0.5, 0.5, 0, 0, 0.5, 0.75, 0, 0.5, 0.5, 0, 0.25, 0, 0.25, 0.25, 0, 0.25, 0.25, 0, 0.25, 0, 0.25, 0.25, 0, 0, 0.75, 0, 0, 0.25, 0.25, 0, 0.25, 0, 0.25, 0.25, 0, 0.25]","[1.0, 0.25, 0.25, 1.0, 0.5, 0.75]"
